Call,Arrival Time (min),Waiting Time (min),Service Time (min),Departure Time (min)
142,180.77387572893434,0.5088070326360139,0.7069623903028663,181.98964515187322
143,181.0871189527569,0.2810789449563629,8.167393956343616,189.53559185405686
144,181.98285028158512,0.0067948702881039935,0.41470089514183583,182.40434604701505
145,182.49631789398083,0.0,0.9416050031877545,183.4379228971686
146,182.53871984122014,0.4831742289425449,1.1593339397667008,184.18122800992938
147,184.46873021147243,0.0,12.066951231523655,196.5356814429961
148,185.17356499736346,0.0,3.769679935072071,188.94324493243553
149,186.3718052473019,0.0,11.47066559707636,197.84247084437825
150,188.4774780599336,0.0,1.3313465176912418,189.80882457762482
151,188.59035133412917,0.0,0.9885511252074651,189.57890245933663
152,188.6559049787948,0.28733995364072484,1.6779273381535071,190.62117227058903
153,189.91646922020172,0.0,4.834414085708855,194.75088330591058
154,190.0216189475218,0.0,0.4792842393122498,190.50090318683405
155,193.2569381968482,0.0,5.39773796979285,198.65467616664105
156,193.34920340197968,0.0,2.5873766405288485,195.93658004250852
157,194.0415200893914,0.0,4.461509062852358,198.50302915224378
158,195.18312969271147,0.0,2.0841916667998985,197.26732135951139
159,195.74779877151906,0.0,0.7233122776447534,196.47111104916382
160,195.94272480193854,0.0,3.673914001087259,199.6166388030258
161,196.14190719109678,0.0,2.4704440059103767,198.61235119700714
162,196.16258719146242,0.30852385770140245,15.499176304317084,211.9702873534809
163,196.6272026357691,0.0,6.683647432802806,203.3108500685719
164,197.0137718862536,0.25354947325777744,16.96856390666258,214.23588526617397
165,197.14167372588884,0.7007971184894188,6.1566239596667724,203.99909480404503
166,198.62562607951097,0.0,23.824884579096537,222.4505106586075
167,199.00923171116332,0.0,18.024229728289413,217.03346143945274
168,199.3134995794582,0.0,0.3156089917180823,199.6291085711763
169,199.62541572823275,0.0,13.052014511972114,212.67743024020487
170,199.68242106143185,0.0,1.1796117860442015,200.86203284747606
171,199.71237105813452,1.1496617893415362,2.2326654951951457,203.0946983426712
172,201.27764768150845,1.8170506611627388,7.279857256747209,210.37455559941841
173,201.30376450660933,2.007085561962583,24.362537304055145,227.67338737262705
174,201.65694868078444,2.3421461232605907,4.45581342652689,208.45490823057193
175,202.37583435724895,6.079073873322983,4.8243820570435,213.27929028761542
176,202.55887992927168,7.815675670146732,14.496804105168334,224.87135970458675
177,202.90197290065902,9.06831445282188,17.09150387412311,229.061791227604
178,203.8422696207492,8.835160619455678,11.184538314484142,223.861968554689
179,204.80292778450146,8.476362503113961,8.406094604729107,221.68538489234453
180,205.02490880460468,9.210976461569288,4.419479032643201,218.65536429881718
181,205.30476946983364,11.728691969619092,9.883805254883372,226.91726669433612
182,207.1379301499306,11.517434148886565,0.7788877841988574,219.43425208301602
183,207.95097472419627,11.483277358819748,0.953863374760177,220.3881154577762
184,208.33968685231466,12.048428605461538,3.098872187111912,223.4869876448881
185,209.01948710248,12.665897789864516,11.531427789606981,233.21681268195152
186,211.44429543876342,11.00621521984408,2.8214699298923227,225.27198058849982
187,211.86995880316746,11.61702884172064,4.0089538150839585,227.49594145997207
188,212.7350415207654,11.126927033923607,0.3169904522200134,224.17895900690903
189,218.17142908105072,6.007529925858307,14.674184728767834,238.85314373567687
190,220.58532300421118,4.2860367003755755,8.781306032020485,233.65266573660725
191,222.4576476625694,2.8143329259304153,16.436609390666362,241.70858997916616
192,225.33699713778154,1.5802695565545832,5.040854287454496,231.95812098179061
193,227.5266416745019,0.0,0.8299873127776206,228.35662898727952
194,227.56391664126184,0.10947073136520657,7.660547417586701,235.33393479021376
195,230.64982496148824,0.0,18.154448475471,248.80427343695925
196,232.18716708705202,0.0,0.34421106050015376,232.53137814755218
197,234.11817630681546,0.0,24.30036691334034,258.4185432201558
198,235.6059743218935,0.0,0.90336710835887,236.5093414302524
199,237.03981310305704,0.0,13.020630129202575,250.06044323225962
200,237.140487476319,0.0,1.1104289330910972,238.2509164094101
201,239.00970269376745,0.0,5.246566561404312,244.25626925517176
202,239.16299158425863,0.0,7.919157435815178,247.0821490200738
203,239.60418491260563,0.0,11.456853834986699,251.06103874759233
204,244.09380769442015,0.0,0.8605938219308236,244.95440151635097
205,245.11970588227328,0.0,3.3581662964382257,248.4778721787115
206,246.1463960017399,0.0,0.2548858065534038,246.4012818082933
207,246.72933560805043,0.0,6.933389688438857,253.6627252964893
208,249.62839929683807,0.0,5.535042624403386,255.16344192124146
209,250.59668589896017,0.0,17.155923197032447,267.7526090959926
210,250.73515611355546,0.0,0.8700868647704768,251.60524297832595
211,252.9781503421043,0.0,8.997378512105241,261.97552885420953
212,253.57214778376505,0.0,2.457603810487996,256.02975159425307
213,255.24892723014358,0.0,4.847601916683075,260.09652914682664
214,255.28370536846555,0.0,1.6318650994074748,256.915570467873
215,256.2384839637388,0.0,9.405769414337248,265.6442533780761
216,258.79217803499074,0.0,8.193680850141568,266.9858588851323
217,259.0369553912226,0.0,15.900716563230537,274.93767195445315
218,266.083245292878,0.0,4.753320438858467,270.83656573173647
219,267.348232536874,0.0,8.942613876681573,276.2908464135555
220,268.48859764899015,0.0,10.05728650455935,278.5458841535495
221,273.35092586543294,0.0,11.255998149372529,284.6069240148055
222,275.88836355028656,0.0,4.285965067988254,280.1743286182748
223,278.2424953430468,0.0,13.639125432996524,291.88162077604335
224,285.48605291932876,0.0,3.2994506459985287,288.7855035653273
225,286.23729521164205,0.0,9.427071966693731,295.6643671783358
226,288.71373407051334,0.0,15.141682769673961,303.8554168401873
227,288.92348269059715,0.0,22.403388822456627,311.3268715130538
228,289.26547279964905,0.0,3.0496349057269367,292.31510770537596
229,289.8696585058452,0.0,1.6852439742794383,291.55490248012467
230,290.63253316090146,0.0,2.654017981437081,293.28655114233857
231,293.1618951822095,0.0,3.8484667198357667,297.01036190204525
232,296.7581615265951,0.0,4.251041467216997,301.0092029938121
233,298.43085382784176,0.0,11.091729480005405,309.5225833078472
234,303.82266216953076,0.0,1.933601864921741,305.7562640344525
235,304.04630051182573,0.0,2.9146293917529773,306.9609299035787
236,306.37342980452195,0.0,1.2096903703063846,307.5831201748283
237,307.10590536898025,0.0,4.656384682334465,311.7622900513147
238,309.5295024832309,0.0,5.920393567599413,315.4498960508303
239,310.3894993733874,0.0,2.8802732485044036,313.26977262189183
240,311.1233586636899,0.0,6.604596680613167,317.72795534430304
241,312.50437311638603,0.0,31.745321401473205,344.2496945178592
242,312.73367920327905,0.0,1.7556928149984934,314.48937201827755
243,312.7400739429837,0.0,5.7750171316598164,318.5150910746435
244,312.764283307662,0.0,1.2732150523177308,314.03749835997974
245,313.46057879681854,0.0,8.186103481929617,321.64668227874813
246,314.714878203454,0.0,5.968424809070508,320.6833030125245
247,315.35675709983855,0.0,1.3362604298633896,316.69301752970193
248,317.4760642013343,0.0,2.9858976191233877,320.46196182045765
249,317.6974717388136,0.0,13.025050382972642,330.72252212178626
250,319.84417430320315,0.0,0.6782414320235706,320.52241573522673
251,322.07409938651824,0.0,2.1215296857331705,324.1956290722514
252,323.4576026472068,0.0,1.129414052649567,324.58701669985635
253,324.4610249069374,0.0,16.06510639301703,340.5261312999544
254,324.9260211215094,0.0,11.946924461701942,336.87294558321133
255,325.1339346937083,0.0,3.1493505016196752,328.28328519532795
256,325.39372438691277,0.0,1.096694960845105,326.4904193477579
257,325.59487472874474,0.0,4.10575010656622,329.700624835311
258,326.2951005601318,0.0,3.1984402163341192,329.4935407764659
259,329.73959136876874,0.0,18.54756043401431,348.28715180278306
260,331.2810834288592,0.0,7.73227266549624,339.0133560943554
261,333.3913234027016,0.0,3.81253899075907,337.20386239346067
262,334.1542270727949,0.0,3.687126148152544,337.8413532209475
263,334.5756658186837,0.0,0.2560028168120204,334.83166863549576
264,335.4025073770905,0.0,3.8157541435535287,339.21826152064403
265,337.58639177664486,0.0,7.080186208091306,344.6665779847362
266,343.14530381141213,0.0,18.836695063777785,361.9819988751899
267,343.6450664181912,0.0,0.9220992316845297,344.56716564987573
268,344.8953034388673,0.0,6.08682435510789,350.98212779397517
269,348.4891082582913,0.0,16.247123167987073,364.7362314262784
270,351.28132902835154,0.0,0.5460137607327655,351.8273427890843
271,352.11763746421406,0.0,23.124100156909545,375.2417376211236
272,352.6783966668748,0.0,5.874381320059655,358.5527779869344
273,353.75104212979323,0.0,28.257568229599727,382.00861035939295
274,354.87423971158927,0.0,7.380045270143528,362.2542849817328
275,356.7284612718828,0.0,3.107261944746379,359.83572321662916
276,358.3578136720813,0.0,6.754423900882777,365.1122375729641
277,359.9913971248213,0.0,6.0318992969648395,366.02329642178614
278,362.57453885645,0.0,15.566421393615569,378.1409602500655
279,363.27933781509336,0.0,4.543422137510729,367.8227599526041
280,363.7286203345752,0.0,0.07580669924063065,363.80442703381584
281,364.0375818432578,0.0,1.7183060281079676,365.75588787136576
282,365.0740163075528,0.0,1.1219904706033292,366.1960067781562
283,368.5695378624577,0.0,5.112636902052287,373.68217476451
284,370.2019222291661,0.0,8.145441103038552,378.3473633322046
285,372.9023033004409,0.0,4.5945505647315485,377.49685386517245
286,375.7463025044769,0.0,12.703221159587729,388.4495236640646
287,375.7603762878345,0.0,9.760229332588283,385.52060562042277
288,376.10861152669634,0.0,3.5314417386817767,379.6400532653781
289,376.7835438421071,0.0,5.296243742711456,382.0797875848186
290,379.9108907386414,0.0,2.981228974003602,382.892119712645
